id,type,name,description,aliases,external_id,platforms,kill_chain_phases,created,modified
malware--0659f55c-3b68-4e5d-8071-12ded6684731,malware,NICECURL,NICECURL is a VBScript-based backdoor used by APT42 to download additional modules.,"[""NICECURL""]",S1192,"[""Windows""]",[],2025-01-08T22:16:27.705Z,2025-01-08T23:14:18.123Z
malware--069af411-9b24-4e85-b26c-623d035bbe84,malware,Proxysvc,Proxysvc is a malicious DLL used by Lazarus Group in a campaign known as Operation GhostSecret. It has appeared to be operating undetected since 2017 and was mostly observed in higher education organizations. The goal of Proxysvc is to deliver additional payloads to the target and to maintain control for the attacker. It is in the form of a DLL that can also be executed as a standalone process.,"[""Proxysvc""]",S0238,"[""Windows""]",[],2018-10-17T00:14:20.652Z,2025-10-22T03:00:39.798Z
malware--06d735e7-1db1-4dbe-ab4b-acbe419f902b,malware,Orz,Orz is a custom JavaScript backdoor used by Leviathan. It was observed being used in 2014 as well as in August 2017 when it was dropped by Microsoft Publisher files.,"[""Orz"", ""AIRBREAK""]",S0229,"[""Windows""]",[],2018-04-18T17:59:24.739Z,2025-04-16T20:37:53.293Z
malware--0715560d-4299-4e84-9e20-6e80ab57e4f2,malware,Torisma,Torisma is a second stage implant designed for specialized monitoring that has been used by Lazarus Group. Torisma was discovered during an investigation into the 2020 Operation North Star campaign that targeted the defense sector.,"[""Torisma""]",S0678,"[""Windows""]",[],2022-02-01T16:21:13.097Z,2024-04-10T22:31:28.094Z
malware--071d5d65-83ec-4a55-acfa-be7d5f28ba9a,malware,NOKKI,NOKKI is a modular remote access tool. The earliest observed attack using NOKKI was in January 2018. NOKKI has significant code overlap with the KONNI malware family. There is some evidence potentially linking NOKKI to APT37.,"[""NOKKI""]",S0353,"[""Windows""]",[],2019-01-30T19:50:45.307Z,2025-10-22T03:14:37.092Z
malware--0817aaf2-afea-4c32-9285-4dcd1df5bf14,malware,yty,"yty is a modular, plugin-based malware framework. The components of the framework are written in a variety of programming languages.","[""yty""]",S0248,"[""Windows""]",[],2018-10-17T00:14:20.652Z,2025-10-22T03:06:38.183Z
malware--083bb47b-02c8-4423-81a2-f9ef58572974,malware,Backdoor.Oldrea,"Backdoor.Oldrea is a modular backdoor that used by Dragonfly against energy companies since at least 2013. Backdoor.Oldrea was distributed via supply chain compromise, and included specialized modules to enumerate and map ICS-specific systems, processes, and protocols.","[""Backdoor.Oldrea"", ""Havex""]",S0093,"[""Windows""]",[],2017-05-31T21:32:59.661Z,2025-04-16T20:37:53.808Z
malware--0852567d-7958-4f4b-8947-4f840ec8d57d,malware,DOGCALL,DOGCALL is a backdoor used by APT37 that has been used to target South Korean government and military organizations in 2017. It is typically dropped using a Hangul Word Processor (HWP) exploit.,"[""DOGCALL""]",S0213,"[""Windows""]",[],2018-04-18T17:59:24.739Z,2024-11-17T15:01:33.385Z
malware--088f1d6e-0783-47c6-9923-9c79b2af43d4,malware,Stuxnet,"Stuxnet was the first publicly reported malware to specifically target industrial control systems devices. Stuxnet is a large and complex malware that utilized multiple behaviors, including numerous zero-day vulnerabilities, a sophisticated Windows rootkit, and network infection routines. Stuxnet was discovered in 2010, with some components being used as early as November 2008.","[""Stuxnet"", ""W32.Stuxnet""]",S0603,"[""Windows""]",[],2020-12-14T17:34:58.457Z,2026-04-24T02:36:25.135Z
malware--089aa00a-99ac-46b4-9cf8-4224d463566d,malware,IronWind,IronWind is a custom loader malware that has been in use since at least 2023 by actors including WIRTE to target entities in the Middle East.,"[""IronWind""]",S9029,"[""Windows""]",[],2026-04-20T12:42:31.383Z,2026-05-12T15:12:00.732Z
malware--08d20cd2-f084-45ee-8558-fa6ef5a18519,malware,Downdelph,Downdelph is a first-stage downloader written in Delphi that has been used by APT28 in rare instances between 2013 and 2015.,"[""Downdelph"", ""Delphacy""]",S0134,"[""Windows""]",[],2017-05-31T21:33:16.790Z,2025-04-25T14:42:36.848Z
malware--08e844a8-371f-4fe3-9d1f-e056e64a7fde,malware,RotaJakiro,"RotaJakiro is a 64-bit Linux backdoor used by APT32. First seen in 2018, it uses a plugin architecture to extend capabilities. RotaJakiro can determine it's permission level and execute according to access type (`root` or `user`).","[""RotaJakiro""]",S1078,"[""Linux""]",[],2023-06-14T17:04:01.673Z,2023-10-12T21:19:45.801Z
malware--0945a1a5-a79a-47c8-9079-10c16cdfcb5d,malware,AvosLocker,"AvosLocker is ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in June 2021 and has been used against financial services, critical manufacturing, government facilities, and other critical infrastructure sectors in the United States. As of March 2022, AvosLocker had also been used against organizations in Belgium, Canada, China, Germany, Saudi Arabia, Spain, Syria, Taiwan, Turkey, the United Arab Emirates, and the United Kingdom.","[""AvosLocker""]",S1053,"[""Linux"", ""Windows""]",[],2023-01-11T21:17:36.149Z,2025-04-21T19:40:47.538Z
malware--0998045d-f96e-4284-95ce-3c8219707486,malware,SEASHARPEE,SEASHARPEE is a Web shell that has been used by OilRig.,"[""SEASHARPEE""]",S0185,"[""Windows""]",[],2018-01-16T16:13:52.465Z,2025-04-25T14:42:37.580Z
malware--099ecff2-41b8-436d-843c-038a9aa9aa69,malware,Get2,"Get2 is a downloader written in C++ that has been used by TA505 to deliver FlawedGrace, FlawedAmmyy, Snatch and SDBbot.","[""Get2""]",S0460,"[""Windows""]",[],2020-05-29T20:32:42.686Z,2025-04-25T14:42:37.942Z
malware--09b2cd76-c674-47cc-9f57-d2f2ad150a46,malware,POWRUNER,POWRUNER is a PowerShell script that sends and receives commands to and from the C2 server.,"[""POWRUNER""]",S0184,"[""Windows""]",[],2018-01-16T16:13:52.465Z,2025-04-25T14:42:38.309Z
malware--09fcc02f-f9d4-43fa-8609-5e5e186b7103,malware,KOPILUWAK,KOPILUWAK is a JavaScript-based reconnaissance tool that has been used for victim profiling and C2 since at least 2017.,"[""KOPILUWAK""]",S1075,"[""Windows""]",[],2023-05-17T18:49:25.528Z,2025-04-16T20:37:54.797Z
malware--0a607c53-df52-45da-a75d-0e53df4dad5f,malware,RobbinHood,RobbinHood is ransomware that was first observed being used in an attack against the Baltimore city government's computer network.,"[""RobbinHood""]",S0400,"[""Windows""]",[],2019-07-29T14:27:18.204Z,2025-04-25T14:42:38.861Z
malware--0a615414-1dad-4131-802d-38f5d72ef852,malware,MEDUSA,"MEDUSA is an open-source rootkit that is capable of dynamic linker hijacking, command execution, and logging credentials.","[""MEDUSA""]",S1220,"[""Linux""]",[],2025-06-09T20:44:45.459Z,2025-06-09T20:46:49.622Z
malware--0a6ec267-83a9-41a5-98c7-57c3ff81e11f,malware,VersaMem,"VersaMem is a web shell designed for deployment to Versa Director servers following exploitation. Discovered in August 2024, VersaMem was used during Versa Director Zero Day Exploitation by Volt Typhoon to target ISPs and MSPs. VersaMem is deployed as a Java Archive (JAR) and allows for credential capture for Versa Director logon activity as well as follow-on execution of arbitrary Java payloads.","[""VersaMem""]",S1154,"[""Network Devices""]",[],2024-08-27T19:00:38.548Z,2025-04-15T19:46:33.283Z
malware--0a9c51e0-825d-4b9b-969d-ce86ed8ce3c3,malware,Power Loader,"Power Loader is modular code sold in the cybercrime market used as a downloader in malware families such as Carberp, Redyms and Gapz.",[],S0177,[],[],2018-01-16T16:13:52.465Z,2025-04-25T14:42:39.406Z
malware--0b32ec39-ba61-4864-9ebe-b4b0b73caf9a,malware,TDTESS,TDTESS is a 64-bit .NET binary backdoor used by CopyKittens.,"[""TDTESS""]",S0164,"[""Windows""]",[],2018-01-16T16:13:52.465Z,2025-04-25T14:42:39.777Z
malware--0b639373-5f03-430e-b8f9-2fe8c8faad8e,malware,Chinoxy,"Chinoxy is a backdoor that has been used since at least November 2018, during the FunnyDream campaign, to gain persistence and drop additional payloads. According to security researchers, Chinoxy has been used by Chinese-speaking threat actors.","[""Chinoxy""]",S1041,"[""Windows""]",[],2022-09-21T16:46:22.726Z,2024-04-11T02:46:10.914Z
malware--0ba9281c-93fa-4b29-8e9e-7ef918c7b13a,malware,SharpStage,SharpStage is a .NET malware with backdoor capabilities.,"[""SharpStage""]",S0546,"[""Windows""]",[],2020-12-22T17:02:52.954Z,2025-04-25T14:42:40.376Z
malware--0bf64997-7ce1-43e5-b01a-bcd2bf5dc87f,malware,PAKLOG,"PAKLOG is a keylogger known to be leveraged by Mustang Panda and was first observed utilized in 2024. PAKLOG is deployed via a RAR archive (e.g., key.rar), which contains two files: a signed, legitimate binary (PACLOUD.exe) and the malicious PAKLOG DLL (pa_lang2.dll). The PACLOUD.exe binary is used to side-load the PAKLOG DLL which starts with the keylogger functionality.","[""PAKLOG""]",S1233,"[""Windows""]",[],2025-09-12T15:08:09.556Z,2025-10-21T16:53:47.769Z
malware--0c242cc5-58d3-4fe3-a866-b00a4b6fb817,malware,COATHANGER,"COATHANGER is a remote access tool (RAT) targeting FortiGate networking appliances. First used in 2023 in targeted intrusions against military and government entities in the Netherlands along with other victims, COATHANGER was disclosed in early 2024, with a high confidence assessment linking this malware to a state-sponsored entity in the People's Republic of China. COATHANGER is delivered after gaining access to a FortiGate device, with in-the-wild observations linked to exploitation of CVE-2022-42475. The name COATHANGER is based on a unique string in the malware used to encrypt configuration files on disk: “She took his coat and hung it up” .","[""COATHANGER""]",S1105,"[""Linux"", ""Network Devices""]",[],2024-02-07T18:33:18.551Z,2025-04-15T19:46:33.371Z
malware--0c52f5bc-557d-4083-bd27-66d7cdb794bb,malware,Sardonic,"Sardonic is a backdoor written in C and C++ that is known to be used by FIN8, as early as August 2021 to target a financial institution in the United States. Sardonic has a plugin system that can load specially made DLLs and execute their functions.","[""Sardonic""]",S1085,"[""Windows""]",[],2023-09-05T15:56:46.250Z,2025-10-22T02:07:46.452Z
malware--0c824410-58ff-49b2-9cf2-1c96b182bdf0,malware,Smoke Loader,Smoke Loader is a malicious bot application that can be used to load other malware. Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads. It is notorious for its use of deception and self-protection. It also comes with several plug-ins.,"[""Smoke Loader"", ""Dofoil""]",S0226,"[""Windows""]",[],2018-04-18T17:59:24.739Z,2024-04-11T00:04:55.094Z
malware--0ced8926-914e-4c78-bc93-356fb90dbd1f,malware,HALFBAKED,HALFBAKED is a malware family consisting of multiple components intended to establish persistence in victim networks.,[],S0151,[],[],2017-12-14T16:46:06.044Z,2025-04-25T14:42:41.277Z
malware--0d1f9f5b-11ea-42c3-b5f4-63cce0122541,malware,WindTail,WindTail is a macOS surveillance implant used by Windshift. WindTail shares code similarities with Hack Back aka KitM OSX.,"[""WindTail""]",S0466,"[""macOS""]",[],2020-06-04T19:01:53.566Z,2024-11-17T14:15:51.851Z
malware--0db09158-6e48-4e7c-8ce7-2b10b9c0c039,malware,Misdat,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.,"[""Misdat""]",S0083,"[""Windows""]",[],2017-05-31T21:32:55.126Z,2025-04-16T20:37:55.806Z
malware--0e17b066-50dd-4c2f-83bf-205c5eb2bb34,malware,reGeorg,reGeorg is an open-source web shell written in Python that can be used as a proxy to bypass firewall rules and tunnel data in and out of targeted networks.,"[""reGeorg""]",S1187,"[""Network Devices"", ""Windows"", ""macOS"", ""Linux""]",[],2025-01-06T18:21:30.985Z,2025-04-15T19:46:33.459Z
malware--0e18b800-906c-4e44-a143-b11c72b3448b,malware,FLIPSIDE,FLIPSIDE is a simple tool similar to Plink that is used by FIN5 to maintain access to victims.,"[""FLIPSIDE""]",S0173,"[""Windows""]",[],2018-01-16T16:13:52.465Z,2025-04-25T14:42:42.171Z
malware--0efefea5-78da-4022-92bc-d726139e8883,malware,Linux Rabbit,Linux Rabbit is malware that targeted Linux servers and IoT devices in a campaign lasting from August to October 2018. It shares code with another strain of malware known as Rabbot. The goal of the campaign was to install cryptocurrency miners onto the targeted servers and devices.,"[""Linux Rabbit""]",S0362,"[""Linux""]",[],2019-03-04T17:12:37.586Z,2025-04-25T14:42:42.534Z
malware--0f1ad2ef-41d4-4b7a-9304-ddae68ea3005,malware,adbupd,adbupd is a backdoor used by PLATINUM that is similar to Dipsind.,"[""adbupd""]",S0202,"[""Windows""]",[],2018-04-18T17:59:24.739Z,2025-04-25T14:42:42.902Z
malware--0f862b01-99da-47cc-9bdb-db4a86a95bb1,malware,Emissary,"Emissary is a Trojan that has been used by Lotus Blossom. It shares code with Elise, with both Trojans being part of a malware group referred to as LStudio.","[""Emissary""]",S0082,"[""Windows""]",[],2017-05-31T21:32:54.772Z,2025-04-02T20:35:25.274Z
malware--11194d8b-fdce-45d2-8047-df15bb8f16bd,malware,Exaramel for Linux,Exaramel for Linux is a backdoor written in the Go Programming Language and compiled as a 64-bit ELF binary. The Windows version is tracked separately under Exaramel for Windows.,"[""Exaramel for Linux""]",S0401,"[""Linux""]",[],2019-08-26T13:02:46.378Z,2024-04-11T02:34:14.304Z
malware--11e36d5b-6a92-4bf9-8eb7-85eb24f59e22,malware,KEYMARBLE,KEYMARBLE is a Trojan that has reportedly been used by the North Korean government.,"[""KEYMARBLE""]",S0271,"[""Windows""]",[],2018-10-17T00:14:20.652Z,2025-10-22T02:28:32.075Z
malware--123bd7b3-675c-4b1a-8482-c55782b20e2b,malware,BUBBLEWRAP,"BUBBLEWRAP is a full-featured, second-stage backdoor used by the admin@338 group. It is set to run when the system boots and includes functionality to check, upload, and register plug-ins that can further enhance its capabilities.","[""BUBBLEWRAP"", ""Backdoor.APT.FakeWinHTTPHelper""]",S0043,"[""Windows""]",[],2017-05-31T21:32:33.738Z,2025-04-25T14:42:44.013Z
malware--12a7450d-b03e-4990-a5b8-b405ab9c803b,malware,HAWKBALL,HAWKBALL is a backdoor that was observed in targeting of the government sector in Central Asia.,"[""HAWKBALL""]",S0391,"[""Windows""]",[],2019-06-20T14:52:45.057Z,2024-04-11T02:23:13.352Z
malware--12fdf05a-4bd1-4f45-9cde-d3af35f82db1,malware,TAMECAT,TAMECAT is a malware that is used by APT42 to execute PowerShell or C# content.,"[""TAMECAT""]",S1193,"[""Windows""]",[],2025-01-08T22:21:32.556Z,2025-01-08T22:21:48.530Z
malware--13183cdf-280b-46be-913a-5c6df47831e7,malware,PS1,PS1 is a loader that was used to deploy 64-bit backdoors in the CostaRicto campaign.,"[""PS1""]",S0613,"[""Windows""]",[],2021-05-24T14:55:59.316Z,2024-04-11T00:25:13.397Z
malware--148f947c-aabd-4ba8-b6a3-22b296855119,malware,HeartCrypt,"HeartCrypt is a packer-as-a-service (PaaS) used to protect malware that has been available since at least 2024. HeartCrypt has been used to pack a variety of malware including Lumma Stealer, Remcos, and Rhadamanthys. In the HeartCrypt PaaS model, customers submit malware via private messaging services and it is then packed and returned by the operator as a new binary.","[""HeartCrypt""]",S9018,"[""Linux"", ""Windows""]",[],2026-04-16T20:45:04.154Z,2026-04-23T03:34:30.999Z
malware--1492d0f8-7e14-4af3-9239-bc3fe10d3407,malware,Ursnif,"Ursnif is a banking trojan and variant of the Gozi malware observed being spread through various automated exploit kits, Spearphishing Attachments, and malicious links. Ursnif is associated primarily with data theft, but variants also include components (backdoors, spyware, file injectors, etc.) capable of a wide variety of behaviors.","[""Ursnif"", ""Gozi-ISFB"", ""PE_URSNIF"", ""Dreambot""]",S0386,"[""Windows""]",[],2019-06-04T18:42:22.552Z,2024-09-12T19:50:37.023Z
malware--15c7bcdb-23e1-4ce3-81a7-b109b4d2a4f1,malware,CASTLETAP,CASTLETAP is an ICMP port knocking backdoor that has been installed on compromised FortiGate firewalls by UNC3886.,"[""CASTLETAP""]",S1224,"[""Network Devices""]",[],2025-06-16T20:20:54.148Z,2025-06-16T20:21:39.051Z
malware--16040b1c-ed28-4850-9d8f-bb8b81c42092,malware,ThreatNeedle,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations. It is considered to be an advanced cluster of Lazarus Group's Manuscrypt (a.k.a. NukeSped) malware family.","[""ThreatNeedle""]",S0665,"[""Windows""]",[],2021-11-30T15:46:36.159Z,2024-04-10T22:32:30.915Z
malware--16662bee-9d15-4564-a128-1fce214866e9,malware,RansomHub,"RansomHub is a ransomware-as-a-service (RaaS) offering with Windows, ESXi, Linux, and FreeBSD versions that has been in use since at least 2024 to target organizations in multiple sectors globally. RansomHub operators may have purchased and rebranded resources from Knight (formerly Cyclops) Ransomware which shares infrastructure, feature, and code overlaps with RansomHub.","[""RansomHub""]",S1212,"[""Linux"", ""Windows""]",[],2025-03-17T19:03:28.707Z,2025-03-27T14:29:41.961Z
malware--166c0eca-02fd-424a-92c0-6b5106994d31,malware,ZLib,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014. ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.,"[""ZLib""]",S0086,"[""Windows""]",[],2017-05-31T21:32:56.394Z,2025-04-16T20:37:56.750Z
malware--17b40f60-729f-4fe8-8aea-cc9ee44a95d5,malware,RedLeaves,RedLeaves is a malware family used by menuPass. The code overlaps with PlugX and may be based upon the open source tool Trochilus.,"[""RedLeaves"", ""BUGJUICE""]",S0153,"[""Windows""]",[],2017-12-14T16:46:06.044Z,2024-09-12T19:32:28.614Z
malware--17dec760-9c8f-4f1b-9b4b-0ac47a453234,malware,Miner-C,Miner-C is malware that mines victims for the Monero cryptocurrency. It has targeted FTP servers and Network Attached Storage (NAS) devices to spread.,"[""Miner-C""]",S0133,[],[],2017-05-31T21:33:16.315Z,2024-09-12T15:19:00.433Z
malware--17e919aa-4a49-445c-b103-dbb8df9e7351,malware,POWERSOURCE,POWERSOURCE is a PowerShell backdoor that is a heavily obfuscated and modified version of the publicly available tool DNS_TXT_Pwnage. It was observed in February 2017 in spearphishing campaigns against personnel involved with United States Securities and Exchange Commission (SEC) filings at various organizations. The malware was delivered when macros were enabled by the victim and a VBS script was dropped.,"[""POWERSOURCE"", ""DNSMessenger""]",S0145,"[""Windows""]",[],2017-05-31T21:33:24.739Z,2025-04-16T20:37:56.902Z
malware--18f5f8c6-bba5-4aba-93e7-3539fe565883,malware,Tsundere Botnet,"Tsundere Botnet is a botnet first reported in mid-2025 that is delivered via MSI installer or a PowerShell script. It leverages Node.js and JavaScript for payload delivery and execution, and uses smart contracts on the blockchain to host command and control (C2) addresses. Tsundere Botnet is attributed to a likely Russian-speaking threat actor. A variant named DinDoor has been linked to MuddyWater operations and uses the Deno runtime for execution rather than Node.js.","[""Tsundere Botnet"", ""DinDoor""]",S9034,"[""Linux"", ""macOS"", ""Windows""]",[],2026-04-20T22:24:44.870Z,2026-05-12T15:12:00.733Z
malware--19256855-65e9-48f2-8b74-9f3d0a994428,malware,LITTLELAMB.WOOLTEA,LITTLELAMB.WOOLTEA is a backdoor that was used by UNC5325 during Cutting Edge to deploy malware on targeted Ivanti Connect Secure VPNs and to establish persistence across system upgrades and patches.,"[""LITTLELAMB.WOOLTEA""]",S1121,"[""Network Devices""]",[],2024-03-13T18:41:57.589Z,2025-04-15T19:46:33.606Z
malware--196f1f32-e0c2-4d46-99cd-234d4b6befe1,malware,Felismus,Felismus is a modular backdoor that has been used by Sowbug.,"[""Felismus""]",S0171,"[""Windows""]",[],2018-01-16T16:13:52.465Z,2025-04-25T14:42:46.344Z
malware--198db886-47af-4f4c-bff5-11b891f85946,malware,Zeus Panda,"Zeus Panda is a Trojan designed to steal banking information and other sensitive credentials for exfiltration. Zeus Panda’s original source code was leaked in 2011, allowing threat actors to use its source code as a basis for new malware variants. It is mainly used to target Windows operating systems ranging from Windows XP through Windows 10.","[""Zeus Panda""]",S0330,"[""Windows""]",[],2019-01-29T17:59:43.600Z,2024-04-10T20:31:00.234Z
